H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
38.000000E+0,821.050300E-6,37.000000E+0,850.889100E-6,38.000000E+0,726.354500E-6
36.000000E+0,822.218400E-6,36.000000E+0,850.371300E-6,36.000000E+0,726.034500E-6
34.000000E+0,819.935600E-6,34.000000E+0,849.752400E-6,34.000000E+0,725.287300E-6
32.000000E+0,818.192000E-6,32.000000E+0,850.579600E-6,33.000000E+0,726.144800E-6
30.000000E+0,818.950600E-6,30.000000E+0,849.510500E-6,30.000000E+0,724.548200E-6
28.000000E+0,819.027700E-6,28.000000E+0,847.095300E-6,28.000000E+0,723.777900E-6
26.000000E+0,817.646500E-6,26.000000E+0,847.418200E-6,26.000000E+0,724.348000E-6
24.000000E+0,817.789600E-6,24.000000E+0,847.118800E-6,25.000000E+0,723.535500E-6
22.000000E+0,815.452900E-6,22.000000E+0,845.842700E-6,22.000000E+0,723.880800E-6
20.000000E+0,815.566600E-6,20.000000E+0,844.875800E-6,20.000000E+0,724.475700E-6
18.000000E+0,814.621500E-6,18.000000E+0,844.662100E-6,19.000000E+0,722.145500E-6
17.000000E+0,813.804300E-6,16.000000E+0,845.078300E-6,17.000000E+0,722.267600E-6
14.000000E+0,812.156600E-6,14.000000E+0,842.338400E-6,14.000000E+0,718.846700E-6
12.000000E+0,810.590900E-6,12.000000E+0,841.279800E-6,12.000000E+0,720.302200E-6
10.000000E+0,811.614500E-6,10.000000E+0,839.945700E-6,10.000000E+0,719.863000E-6
8.000000E+0,810.459700E-6,8.000000E+0,838.795800E-6,9.000000E+0,717.104800E-6
6.000000E+0,809.108200E-6,6.000000E+0,837.322400E-6,6.000000E+0,715.952200E-6
4.000000E+0,808.635700E-6,4.000000E+0,835.858400E-6,5.000000E+0,715.070900E-6
3.000000E+0,806.870600E-6,2.000000E+0,834.491100E-6,3.000000E+0,714.756800E-6
0.000000E+0,804.317900E-6,0.000000E+0,833.771200E-6,0.000000E+0,713.423000E-6
0.000000E+0,802.766800E-6,0.000000E+0,830.639100E-6,0.000000E+0,712.885100E-6
-1.000000E+0,801.640400E-6,-1.000000E+0,830.726000E-6,-1.000000E+0,710.492600E-6
-3.000000E+0,799.338900E-6,-3.000000E+0,828.520800E-6,-3.000000E+0,708.691400E-6
-5.000000E+0,796.182100E-6,-5.000000E+0,826.085500E-6,-5.000000E+0,706.616500E-6
-7.000000E+0,793.701400E-6,-7.000000E+0,823.880300E-6,-7.000000E+0,705.155900E-6
-9.000000E+0,790.535800E-6,-9.000000E+0,820.460500E-6,-9.000000E+0,702.110800E-6
-11.000000E+0,787.519500E-6,-11.000000E+0,816.471700E-6,-11.000000E+0,699.456100E-6
-13.000000E+0,-590.120200E-6,-13.000000E+0,-592.623400E-6,-13.000000E+0,-483.121900E-6
-15.000000E+0,-752.494000E-6,-15.000000E+0,-752.040200E-6,-15.000000E+0,-650.323400E-6
-17.000000E+0,-762.451300E-6,-17.000000E+0,-784.018400E-6,-17.000000E+0,-668.382000E-6
-19.000000E+0,-770.647700E-6,-19.000000E+0,-793.238800E-6,-19.000000E+0,-676.295800E-6
-21.000000E+0,-775.795200E-6,-21.000000E+0,-797.446800E-6,-21.000000E+0,-681.332900E-6
-23.000000E+0,-780.348800E-6,-23.000000E+0,-805.532800E-6,-23.000000E+0,-686.602000E-6
-25.000000E+0,-781.538000E-6,-25.000000E+0,-807.921800E-6,-25.000000E+0,-690.242400E-6
